A00030981-ses-DS2,6.805662,130.617,325,0.0873177,0.114784
A00030989-ses-DS2,6.950537,278.484,500,0.125855,0.121696
A00030990-ses-DS2,6.530543,628.656,1503,0.0885454,0.0944417
A00031167-ses-DS2,6.656951,193.711,741,0.206473,0.13829
A00031216-ses-DS2,7.185187,151.789,369,0.0656135,0.0644718
A00031217-ses-DS2,6.968575,238.242,537,0.0900349,0.134774
A00031219-ses-DS2,7.840158,3188.62,43609,1.89235,1.11395
A00031272-ses-DS2,6.848018,179.234,526,0.0874066,0.0931245
A00031452-ses-DS2,7.047610,293.133,556,0.0897897,0.113106
A00031459-ses-DS2,6.984631,192.508,595,0.0858073,0.0925037
A00031549-ses-DS2,7.560860,140.305,268,0.0843556,0.109099
A00031605-ses-DS2,6.675938,181.945,416,0.128949,0.179539
A00031625-ses-DS2,7.169164,147.5,364,0.138121,0.119014
A00031683-ses-DS2,7.024789,172.156,451,0.046008,0.0741377
A00031794-ses-DS2,6.915406,189.133,427,0.0636737,0.0948172
A00031871-ses-DS2,7.020081,180.422,509,0.17662,0.106506
A00031872-ses-DS2,6.904628,182.508,308,0.0749178,0.0731441
A00031881-ses-CLG4,7.410450,145.562,307,0.101757,0.129784
A00031881-ses-CLG4R,7.539667,137.453,338,0.0906569,0.135789
A00031881-ses-CLG5,8.088578,174.047,316,0.110267,0.117225
A00031881-ses-DS2,6.673477,246.523,517,0.0972506,0.11867
A00031893-ses-DS2,7.711752,159.047,341,0.065696,0.0642982
A00031894-ses-DS2,6.838009,216.047,779,0.08844,0.0757099
A00032007-ses-DS2,7.096813,206.367,389,0.060778,0.0880793
A00032010-ses-DS2,6.995769,187.289,320,0.0700237,0.111105
A00032817-ses-DS2,6.796684,208.281,707,0.0780484,0.0904818
A00032862-ses-DS2,7.113279,188.828,409,0.0832583,0.0899092
A00032875-ses-DS2,7.230995,203.688,431,0.0972738,0.153011
A00032876-ses-DS2,7.250331,294.008,682,0.0588715,0.0631832
A00033011-ses-DS2,6.886857,129.234,265,0.0485657,0.0481514
A00033021-ses-DS2,7.352077,130.109,347,0.086909,0.0860052
A00033180-ses-DS2,7.703186,122.023,297,0.0690333,0.074472
A00033231-ses-DS2,7.367148,170.82,399,0.0729669,0.102246
A00033232-ses-DS2,6.930984,186.711,355,0.0663417,0.0660559
A00033247-ses-DS2,7.047301,196.656,722,0.0993321,0.12222
A00033248-ses-DS2,7.484816,259.383,569,0.103297,0.144151
A00033589-ses-DS2,6.975519,260.422,583,0.0756328,0.0903449
A00033609-ses-DS2,6.897330,185.609,324,0.0615257,0.0497363
A00033640-ses-DS2,6.992171,181.445,479,0.13719,0.202046
A00033643-ses-DS2,7.180286,395.898,1308,0.255793,0.342797
A00033647-ses-DS2,7.142238,212.336,443,0.0953791,0.0717256
A00033673-ses-DS2,7.311798,203.008,547,0.0886565,0.0925509
A00033714-ses-CLG4,7.322300,356.492,1261,0.174737,0.233851
A00033714-ses-CLG4R,7.613132,217.555,2148,0.0926841,0.108869
A00033714-ses-CLG5,7.918829,185.469,508,0.0882884,0.0890989
A00033714-ses-DS2,7.603294,178.875,355,0.0757957,0.0875644
A00033734-ses-DS2,7.444368,166.742,325,0.132939,0.15849
A00033735-ses-DS2,7.422728,128.367,468,0.11134,0.0794674
A00033747-ses-DS2,7.313996,114.461,244,0.165182,0.142432
A00033748-ses-DS2,7.418353,157.625,379,0.142292,0.10479
A00033752-ses-DS2,7.731094,156.148,489,0.0491373,0.0694377
A00033764-ses-DS2,7.077781,186.695,344,0.0867409,0.08916
A00033832-ses-DS2,7.736416,240.367,745,0.078578,0.0994517
A00033834-ses-DS2,7.663652,205.727,402,0.0827829,0.0919555
A00033849-ses-DS2,7.592677,147.562,328,0.0721871,0.0658688
A00033903-ses-DS2,7.665376,238.945,455,0.100954,0.0532994
A00033963-ses-DS2,7.399308,184.508,362,0.166833,0.184086
A00033998-ses-DS2,7.296709,207.133,413,0.0679667,0.0884816
A00034073-ses-DS2,7.776780,160.203,473,0.0935248,0.107472
A00034074-ses-DS2,7.801652,139.883,560,0.0910285,0.122652
A00034093-ses-DS2,7.959761,188.641,589,0.0349357,0.0606885
A00034193-ses-DS2,7.371037,182.969,485,0.0997352,0.118169
A00034350-ses-CLG4,7.548118,218.703,606,0.17725,0.21919
A00034350-ses-CLG4R,7.551890,240.227,490,0.188859,0.217785
A00034350-ses-DS2,7.713245,227.812,766,0.182011,0.177787
A00034385-ses-DS2,7.605366,240.531,760,0.168189,0.182258
A00034400-ses-DS2,7.654933,171.047,310,0.0685066,0.0826555
A00034827-ses-DS2,7.850644,161.391,379,0.0883065,0.108676
A00034854-ses-DS2,7.574647,195.055,452,0.0905103,0.0884492
A00034987-ses-DS2,8.006970,143.789,393,0.0884634,0.0904072
A00035036-ses-DS2,7.663728,160.672,430,0.226159,0.0912683
A00035054-ses-DS2,7.832019,172.188,344,0.123783,0.171144
A00035072-ses-DS2,7.661542,185.578,319,0.0687476,0.0853811
A00035291-ses-CLG4,8.214621,198.328,519,0.0795367,0.115578
