bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-A00064505_ses-CLG2R_task-rest_acq-1400_bold	0.0010667493796526054	0.007217550099255582	1	42.30484640761195	1.18139110097015	0.9805250499999995	0.5187850579338215	999.0790405273438	0.2293193948984246	233	57.81637717121588	3.186962127064341	2.967175	3.58122	3.012491381193024	0.0104796	-0.019633164629340172	0.07018664479255676	403	112	112	64	2.60444515344643	1.399999976158142	2.0	2.0	2.0000057220458984	29.031586286822794	8.409870147705078	65.5970458984375	26.39653968811035	533203.0	20.140915298461913	254.25055389404267	104.8555908203125	1.0031112943389964	312.1571044921875	933.8478393554688	886.9412841796875	170188.0	476.33772583007817	1566.4005798339838	340.54803466796875	38.55888366699219
sub-A00064505_ses-CLG2R_task-rest_acq-2500_bold	0.00629775	0.0075794629166666665	0	36.047897964117666	1.2706283848739492	1.0378634736134453	0.5446061899890345	434.46453857421875	0.1679520554605355	37	30.833333333333332	2.651314778423423	2.5679833333333333	2.970053333333333	2.415907668603602	0.0189069	-0.023609839379787445	0.07804189622402191	120	72	72	38	2.419570532270975	2.5	3.0	3.0	3.3300113677978516	34.91942345632453	7.2470598220825195	56.707862854003906	30.310441970825195	113288.0	24.707231616973875	193.4347793579101	77.44143676757812	0.962153113629356	263.20208740234375	743.4253540039062	698.4071044921875	44171.0	365.2384490966797	1287.8081665039062	288.64593505859375	41.96853256225586
sub-A00064505_ses-CLG2R_task-rest_acq-645_bold	0.0007748775055679288	0.004787828296213808	2	35.541295573600955	1.2826218280490538	0.9877262511705668	0.5244280778225303	974.1204223632812	0.13185175794107498	135	15.033407572383073	2.870622591191991	2.69671	3.1176333333333335	2.7975244402426394	0.0125842	-0.026213455945253372	0.07559125125408173	898	74	74	40	2.566400845566281	0.6449999809265137	3.0	3.0	3.000009536743164	24.88250378492228	9.659765243530273	48.040916442871094	20.925697326660156	128818.0	13.61861343383789	191.0676033020018	77.52680206298828	0.656225622918726	265.4776611328125	759.3352661132812	725.2770385742188	48711.0	372.82501220703125	1285.5411376953125	282.6018371582031	45.766761779785156
sub-A00064505_ses-CLGA_task-rest_acq-1400_bold	0.002034975247524752	0.007188950371287129	0	49.15937566610421	1.2379184821588094	1.3946682548138951	0.4975824229811972	896.7425537109375	0.20506314904130868	199	49.257425742574256	3.701724752494888	3.4615	4.227365	3.4163092574846647	0.00846842	-0.015802402049303055	0.07785645872354507	404	112	112	64	1.9005637256247938	1.399999976158142	2.0	2.0	1.99993896484375	38.586581972322264	11.11517333984375	66.60453796386719	26.552001953125	534198.0	17.969636249542237	247.96636810302687	114.3668441772461	2.0584140177434946	340.24310302734375	962.9998779296875	850.6441040039062	168823.0	451.35352783203126	1881.5620849609368	447.57330322265625	36.869483947753906
sub-A00064505_ses-CLGA_task-rest_acq-2500_bold	0.0028184745762711862	0.005557313728813561	2	35.11806059239315	1.2847270099145294	1.0307928146153849	0.5231704358303819	400.1469421386719	0.10009252050888658	8	6.779661016949152	3.0098979649365596	2.9094800000000003	3.4882000000000004	2.6320138948096776	0.0106304	-0.02343149110674858	0.08987874537706375	118	72	72	38	1.7798774853487145	2.5	3.0	3.0	3.3298988342285156	43.50726800903835	8.733194351196289	57.01640319824219	29.57498550415039	112906.0	22.9757022857666	192.0921287536621	84.17628479003906	2.2928850230611246	277.4296875	755.0722045898438	663.2836303710938	44444.0	332.73262176513674	1525.5125061035155	372.6527099609375	46.098148345947266
sub-A00064505_ses-CLGA_task-rest_acq-645_bold	0.000672324805339266	0.004079231968854282	1	38.100659423507764	1.2650151266369707	0.9909199713697103	0.5066030286324325	715.5944213867188	0.11873098523023433	55	6.117908787541713	3.30719647115547	3.103566666666667	3.714233333333333	3.103789413466411	0.0135957	-0.028470635414123535	0.08650299161672592	899	74	74	40	1.8283658507371199	0.6449999809265137	3.0	3.0	2.999910354614258	32.79178594295306	17.417707443237305	74.04219818115234	33.24214172363281	128958.0	19.90584831237793	276.7760604858398	122.51612091064453	1.758927169494636	417.9211730957031	1127.992431640625	995.1971435546875	48461.0	498.3033142089844	2263.012451171875	544.3040161132812	43.83130645751953
sub-A00064507_ses-CLG2R_task-rest_acq-1400_bold	0.010720420792079209	0.005405481881188118	0	39.476191646005	1.1495930303473951	1.0263011264764261	0.47349813760152254	1722.6170654296875	0.2736888713446565	152	37.62376237623762	3.756721666666667	3.51995	4.25886	3.491355	0.0273314	-0.02272931858897209	0.051272258162498474	404	112	112	64	2.1827511850390295	1.399999976158142	2.0	2.0	2.0	60.313555596187676	7.56362771987915	45.418418884277344	23.79641342163086	532138.0	18.25401954650879	144.79104614257812	58.72848892211914	0.8440515745200607	427.42236328125	1157.197509765625	1060.5726318359375	171773.0	537.7522827148438	2095.7416992187495	485.8865966796875	38.079925537109375
sub-A00064507_ses-CLG2R_task-rest_acq-2500_bold	0.05257608333333333	0.007153572625000001	0	43.472875498739526	1.49639683302521	1.3777390645378151	0.4945994622020942	749.61279296875	0.5210307334010937	39	32.5	3.1168945298569586	2.9942166666666665	3.545666666666667	2.8108002562375423	0.0597707	-0.017647340893745422	0.03595833107829094	120	72	72	38	2.0848054686531685	2.5	3.0	3.0	3.3300018310546875	124.41753984811093	6.946898460388184	38.79832077026367	27.25676727294922	113245.0	21.809668731689452	86.35628967285146	37.420440673828125	0.5993572327456307	346.4528503417969	909.52392578125	827.704345703125	44595.0	400.4623046875	1691.462341308593	397.0130920410156	32.23775100708008
sub-A00064507_ses-CLG2R_task-rest_acq-645_bold	0.0037997664071190208	0.004013480800889878	1	26.333948430846313	1.0890500158017824	1.000287685044544	0.4792288883684363	1412.7862548828125	0.19569666869631713	277	30.812013348164626	3.299716666666667	3.0655866666666665	3.6732666666666667	3.160296666666667	0.0218991	-0.02064119093120098	0.036380186676979065	899	74	74	40	2.1048883762298853	0.6449999809265137	3.0	3.0	3.0	67.85631698676963	13.05926513671875	46.203819274902344	29.029783248901367	128732.0	18.96702699661255	120.2130168914795	52.451995849609375	0.5631483081632385	515.0629272460938	1331.4141845703125	1216.5067138671875	49043.0	588.0563720703125	2450.18095703125	577.9376831054688	42.60368728637695
sub-A00064507_ses-DSA_task-rest_acq-2500_bold	0.02924416666666667	0.01059013025	0	48.55959941983194	1.2028502362184876	1.1633538361344535	0.5242033021084318	524.3933715820312	0.5330325521547006	62	51.666666666666664	2.7227712844805034	2.6330566666666666	3.0633766666666666	2.4718805201081775	0.0431589	-0.018522659316658974	0.03266339749097824	120	72	72	38	2.758983267906901	2.5	3.0	3.0	3.3300881385803223	77.75862536768713	6.224224090576172	42.917850494384766	32.23347473144531	112644.0	27.2830397605896	88.38890647888181	36.20555114746094	-0.03710102895948886	290.15777587890625	840.0997924804688	811.484619140625	44974.0	402.9440155029297	1361.3576110839842	294.1212463378906	29.941864013671875
