A00008326-ses-DS2,,
A00013809-ses-DS2,9,
A00018030-ses-CLG4R,2,
A00018030-ses-DS2,1,
A00023510-ses-DS2,5,
A00027159-ses-CLG4,,
A00027159-ses-CLG4R,1,
A00027159-ses-DS2,,
A00027167-ses-CLG4,,
A00027167-ses-CLG4R,,
A00027167-ses-DS2,1,
A00027439-ses-CLG4,,
A00027439-ses-CLG4R,6,
A00027439-ses-DS2,6,
A00027443-ses-DS2,,
A00028150-ses-DS2,,
A00028152-ses-DS2,,
A00028177-ses-DS2,,
A00028184-ses-DS2,4,
A00028185-ses-DS2,,
A00028192-ses-DS2,,
A00028207-ses-DS2,,
A00028246-ses-DS2,,
A00028266-ses-DS2,17,
A00028287-ses-DS2,14,
A00028339-ses-DS2,27,
A00028340-ses-DS2,,
A00028352-ses-DS2,4,
A00028380-ses-DS2,1,
A00028389-ses-DS2,,
A00028399-ses-DS2,,
A00028400-ses-DS2,2,
A00028429-ses-DS2,4,
A00028430-ses-DS2,5,
A00028468-ses-DS2,5,
A00028552-ses-DS2,,
A00028605-ses-DS2,17,
A00028606-ses-DS2,,
A00028613-ses-DS2,37,
A00028625-ses-DS2,6,
A00028656-ses-DS2,,
A00028678-ses-DS2,3,
A00028691-ses-DS2,2,
A00028694-ses-DS2,,
A00028753-ses-DS2,2,
A00028754-ses-DS2,9,
A00028766-ses-DS2,,
A00028784-ses-DS2,,
A00028822-ses-DS2,12,
A00028842-ses-DS2,,
A00028844-ses-DS2,3,
A00028912-ses-DS2,19,
A00028929-ses-DS2,2,
A00028994-ses-DS2,3,
A00028995-ses-DS2,,
A00029075-ses-DS2,7,
A00029076-ses-DS2,1,
A00029092-ses-DS2,4,
A00029104-ses-DS2,8,
A00029126-ses-DS2,5,
A00029127-ses-DS2,,
A00029215-ses-DS2,2,
A00029231-ses-DS2,8,
A00029303-ses-DS2,1,
A00029304-ses-DS2,,
A00029979-ses-DS2,,
A00030912-ses-DS2,2,
A00030913-ses-DS2,1,
A00030980-ses-DS2,40,
A00030981-ses-DS2,2,
A00030989-ses-DS2,,
A00030990-ses-DS2,3,
A00031167-ses-DS2,12,
A00031216-ses-DS2,,
A00031217-ses-DS2,,
A00031219-ses-DS2,,
A00031272-ses-DS2,27,
A00031452-ses-DS2,,
A00031459-ses-DS2,,
A00031549-ses-DS2,2,
A00031605-ses-DS2,1,
A00031625-ses-DS2,,
A00031683-ses-DS2,,
A00031794-ses-DS2,12,
A00031871-ses-DS2,1,
A00031872-ses-DS2,2,
A00031881-ses-CLG4,,
A00031893-ses-DS2,11,
A00031894-ses-DS2,1,
A00032007-ses-DS2,,
A00032010-ses-DS2,1,
