bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-A00008326_ses-DS2_T1w	0.40929886143490696	3.261638208218202	0.6802578118364497	15773.2451171875	3.8176835466666668	3.76577	3.8597631999999997	3.8275174400000003	0.1908846745703838	0.41929960318513565	0.3898157222444806	0.7831757664680481	0.1897134095430374	0.0	0.007556643095983665	23.15934931926898	11.231229490494387	14.252085791694594	176	256	169	3.0922638611097084	14.160471130093708	14.97918826970026	27.684829817897363	53.84692859964659	116.18207768117776	106.11495239294436	148.31585089800873	1.0	0.9765625	0.9765625	10.367730318042033	4.417293548583984	6.965294361114502	5.644777774810791	879740.0	0.0	19.531190586090084	6.907342910766602	17.080453505518	93.39814758300781	394.3223571777344	363.06591796875	17733.0	264.94367065429685	614.0943725585936	117.40773010253906	0.0953986246049543	54.48500061035156	783.0736083984375	783.3641357421875	16581.0	692.517578125	873.8580932617188	55.318817138671875	0.6430925443058513	34.195228576660156	999.7966918945312	1000.0278930664062	174408.0	940.2922943115234	1057.9615600585937	36.121768951416016	0.2466205507516861	0.5010650157928467	0.5638949275016785	0.45646675944316495
sub-A00010893_ses-DS2_T1w	0.6206762550841531	2.189255581027728	0.7100305944150697	9752.1474609375	4.127824613333334	3.93531	4.369602560000001	4.07856128	0.20278081263045422	0.4156952288362107	0.38152395853333504	0.8574216365814209	0.314636892080307	0.0	0.0022931552471070656	19.87534354142128	9.945881134788443	12.729411903848721	176	256	169	3.6804283092326733	11.894654511022988	11.140195599784176	17.845503979096865	40.268596109495384	87.38672862949443	78.71987411875493	108.50429761727499	1.0	0.9765625	0.9765625	89.38113021524224	6.038084983825684	10.176024436950684	7.672127723693848	937338.0	0.0	29.547245311737054	13.37498664855957	1.0329533819629528	87.81404876708984	389.88238525390625	371.13677978515625	20425.0	261.20021362304686	589.3522705078125	100.83818054199219	0.06645116813665508	65.71012115478516	809.3606567382812	805.4025268554688	15115.0	703.5787963867188	929.4024658203125	67.70906066894531	0.2897400383473232	55.09255599975586	1002.9097900390625	1000.0332641601562	179107.0	915.6016235351562	1099.2316528320312	56.038230895996094	0.22350551187992096	0.49136224389076233	0.5312578082084656	0.5379108842873891
sub-A00013809_ses-DS2_T1w	0.5538334916950534	2.418930709373718	0.6887205287611783	7542.69580078125	3.889739226666667	3.74569	4.17063936	3.75288832	0.2003656423047223	0.42065412198742236	0.37898023570785533	0.916580080986023	0.22976522147655487	0.0	0.001725067670707605	22.61192767151512	11.267875022773367	14.68401091288374	176	256	169	3.207294527578246	13.232023265740478	13.114973607020117	22.905603027741627	36.25934758556571	80.6936781565862	71.94341358407543	98.87721501007435	1.0	0.9765625	0.9765625	6.196127060823796	6.626028537750244	9.78062915802002	7.7095513343811035	846155.0	0.0	25.4603006362915	8.377052307128906	5.033004497328186	98.44437408447266	395.68951416015625	366.72589111328125	18678.0	260.0487030029297	621.2234191894531	114.338134765625	0.10034553798344792	59.9102897644043	818.3150024414062	816.13330078125	17989.0	720.3298706054687	923.3804809570312	61.67693328857422	0.25858651887776896	41.94396209716797	1000.2080078125	1000.041015625	156900.0	928.2183380126953	1072.311328125	43.65909194946289	0.24884584546089172	0.5088838338851929	0.5659471154212952	0.45204190621202694
sub-A00018030_ses-CLG4R_T1w	0.31562332945267946	4.002087597422125	0.6385081819006445	15091.5537109375	3.997774773333333	3.92786	4.0825344	3.98292992	0.18816002709479812	0.45772778920063545	0.35411218370456643	0.7940376996994019	0.2551121264696121	0.0	0.11746130820295482	16.91094960717689	7.690261706678361	11.25890055528871	176	256	169	3.38981029104015	14.22729123183392	14.13688513810696	24.79355389144681	76.46206150283402	137.7311228475238	133.71535632922027	186.95288463730301	1.0	0.9765625	0.9765625	3.5920147358937022	3.504331350326538	5.278026580810547	4.716633319854736	1163873.0	0.0	13.599268913269043	4.458155155181885	0.5420786109434781	132.6643524169922	431.22698974609375	408.9963684082031	20971.0	265.5762481689453	635.1321105957031	120.65177154541016	0.6516623179202017	46.57627868652344	737.6715698242188	736.7252197265625	30422.0	653.4178802490235	826.2312011718749	51.78168487548828	1.033421760633674	36.523468017578125	998.5621948242188	1000.012939453125	191666.0	929.9359130859375	1060.8671264648438	40.33348083496094	0.2144055813550949	0.5190355181694031	0.5255019068717957	0.4918290199372751
sub-A00018030_ses-CLG4_T1w	0.4840255418472649	2.8419601460550843	0.6512858052939194	8104.48291015625	4.177995226666667	4.05545	4.327413760000001	4.15112192	0.19484649986985936	0.44737999661844574	0.3577735035116949	0.9155592918395996	0.338960200548172	0.0	0.004198337533670157	16.54725625518378	7.680510097754249	10.926616535668902	176	256	169	3.624253193348732	13.037433253918072	11.559541951873578	18.01693940835393	57.709241570114926	103.3333836898283	98.5085878105668	134.4831381717572	1.0	0.9765625	0.9765625	12.315267695603763	4.8716044425964355	8.509017944335938	5.819738864898682	1168839.0	0.0	26.268928909301756	9.416982650756836	-0.2178423526924882	123.80023193359375	438.4835510253906	429.1268310546875	21894.0	258.0755569458008	643.7453552246094	118.40150451660156	0.08407045772538613	58.52410125732422	770.4131469726562	768.388671875	24964.0	678.0035003662109	871.1998840332031	58.93593215942383	0.6287360569555411	53.59076690673828	1003.2633056640625	1000.0187377929688	188335.0	918.4464111328125	1098.343212890625	55.504215240478516	0.21346119046211243	0.5124545097351074	0.5223321318626404	0.4838643773491667
sub-A00018030_ses-DS2_T1w	0.2853900949919435	4.262989893549834	0.6304852945073889	16445.349609375	3.889893333333333	3.87064	3.9137587199999997	3.88528128	0.16258432114739374	0.48065048538764754	0.3567651934649587	0.7629942893981934	0.2563315093517303	0.0	0.10672390716454178	19.272760049094813	7.5245478819631835	11.079899063702412	176	256	169	2.9825692589372186	16.156874731585457	13.967314190880158	22.762498582117797	73.35070748015812	139.681753860114	134.73974326121404	191.18676844337006	1.0	0.9765625	0.9765625	3.209339395449211	3.4267280101776123	5.179304599761963	4.827286243438721	1098875.0	0.0	13.019664001464843	4.332149982452393	15.552405458695233	111.15132904052734	415.37554931640625	383.6650390625	15809.0	258.2341613769531	624.9140625	128.63168334960938	1.2613132304203232	39.743629455566406	730.9693603515625	730.6133422851562	40312.0	657.4260070800781	805.6237091064453	45.21940612792969	1.537970262931359	37.14043426513672	996.326416015625	1000.0132446289062	187589.0	915.451904296875	1059.944091796875	43.932373046875	0.2136579006910324	0.5254876017570496	0.5193920731544495	0.48351229814523444
sub-A00019903_ses-DS2_T1w	0.6826499801026605	2.0304157508696425	0.7013821855585369	10472.9306640625	3.6162882666666665	3.5501	3.68068608	3.61807872	0.22901016339707217	0.39204544514020223	0.37894439146272557	1.039255142211914	0.29310024380683886	0.0	0.002016566339369025	17.30021504686096	9.479959084083607	11.453266174779754	176	256	169	3.4905204979164477	13.106986691571185	11.223417055717524	17.07274397766494	41.3081130710704	93.82796188166908	82.9904981345016	113.83541945076534	1.0	0.9765625	0.9765625	28.88997891477295	5.755452632904053	9.33161449432373	7.0881218910217285	967119.0	0.0	27.049456977844233	10.399792671203613	49.917026415174846	73.65313720703125	386.35931396484375	362.89678955078125	43761.0	271.6741943359375	580.5670776367188	103.96519470214844	-0.08050281403679893	63.44657897949219	824.4469604492188	824.2900390625	8595.0	723.3729675292968	927.4964599609375	62.885704040527344	0.621349986760316	56.541404724121094	1001.9539794921875	1000.0579833984375	148577.0	909.584912109375	1100.590966796875	58.57609176635742	0.219772607088089	0.4451512396335602	0.5240162014961243	0.46149810470438696
sub-A00023510_ses-DS2_T1w	0.42604620549556116	3.1026224855946354	0.7216042230329643	9048.716796875	3.9932586400000005	3.94539	4.07643136	3.95795456	0.19247397528546006	0.4335812277711361	0.3739447969434038	0.8747493028640747	0.25877267122268677	0.0	0.007708618079579034	18.067621472217628	8.50983669465132	11.376314827017126	176	256	169	3.500435396966661	13.21705730745058	13.894083336784384	24.964757305935912	43.12265982253944	88.50565846907168	81.80800879330866	113.79570808831487	1.0	0.9765625	0.9765625	6.891324075513712	5.757242202758789	8.76114273071289	7.356513500213623	908943.0	0.0	23.777677536010714	7.986928939819336	31.288476375464036	90.32616424560547	398.5268249511719	378.9555969238281	27071.0	270.6132049560547	586.6353149414062	108.25756072998047	0.26022062869748597	56.68772888183594	779.1314086914062	777.7747192382812	17917.0	685.6845947265625	879.4275512695312	58.844642639160156	0.5530383677671491	37.9990119934082	1001.3802490234375	1000.0199584960938	199633.0	938.0195068359376	1068.577880859375	40.057167053222656	0.22847416996955872	0.4992023706436157	0.5355968475341797	0.43164290124860766
sub-A00025566_ses-DS2_T1w	0.7099848647780198	1.9077377912389337	0.7146898752371177	11611.224609375	3.9323378933333335	3.89371	3.9742976	3.92900608	0.2423767334009676	0.385814482944368	0.3718087836546644	0.9923224449157715	0.3166946530342103	0.0	0.0027944331698915898	17.263259789179013	10.116155349695296	12.39573798226861	176	256	169	3.647367419729018	12.034306940794105	11.525799547193921	18.895724281058644	42.70136612838626	99.37711307410558	87.13329919033764	119.32141836852107	1.0	0.9765625	0.9765625	492.1513632253763	5.490711212158203	8.47203254699707	6.883607864379883	859315.0	0.0	23.686533164978016	9.307193756103516	1.6683272790924422	75.56950378417969	382.24859619140625	357.8810119628906	46563.0	267.44385681152346	591.4342224121094	98.11930847167969	0.003971743166433672	67.24995422363281	833.9054565429688	832.881591796875	12784.0	720.8856536865234	952.1050140380859	69.20623016357422	0.3584230195414073	51.42658996582031	1002.9522705078125	1000.0352172851562	169201.0	921.1200561523438	1094.273193359375	52.92373275756836	0.22247682511806488	0.45230549573898315	0.5401982069015503	0.43897724160129964
sub-A00027159_ses-CLG4R_T1w	0.2895725379371427	4.184312942111165	0.6450431779303485	15588.0048828125	3.7407195466666665	3.65699	4.04140032	3.5237683200000003	0.1345340573965348	0.48835447877751803	0.3771114638259472	0.8527552485466003	0.27274147272109983	0.0	0.06032801981076232	22.52443041899458	6.792682503885683	9.298734465966458	176	256	169	0.8176325900682819	15.834277264272153	12.237511431600709	20.060624440461687	69.96989105062447	123.17088678427635	121.61661189510255	171.70905785040688	1.0	0.9765625	0.9765625	4.045124385783519	3.8154141902923584	5.821052074432373	4.972253322601318	1359461.0	0.0	15.718344688415527	5.168404579162598	-0.8937128314350051	187.4984588623047	685.4545288085938	407.49395751953125	21769.0	255.92001342773438	1594.7533935546876	498.37127685546875	0.6294143618811332	42.27914047241211	717.3349609375	717.3284301757812	101095.0	643.0834167480468	791.2991088867187	45.30202865600586	2.508761718875977	39.576904296875	994.7401733398438	1000.00732421875	233806.0	900.9230041503906	1064.9543762207031	49.84915542602539	0.2052101343870163	0.5233421921730042	0.5285719633102417	0.4207607141031125
