A00008326-ses-DS2,18,
A00013809-ses-DS2,59,
A00018030-ses-CLG4R,2,
A00018030-ses-DS2,8,
A00023510-ses-DS2,12,
A00025566-ses-DS2,107,
A00027167-ses-CLG4,,
A00027167-ses-CLG4R,2,
A00027439-ses-CLG4,23,
A00027439-ses-DS2,25,
A00028150-ses-DS2,24,
A00028184-ses-DS2,58,
A00028185-ses-DS2,,
A00028192-ses-DS2,143,
A00028246-ses-DS2,6,
A00028266-ses-DS2,119,
A00028287-ses-DS2,34,
A00028339-ses-DS2,162,
A00028340-ses-DS2,4,
A00028399-ses-DS2,3,
A00028429-ses-DS2,30,
A00028468-ses-DS2,22,
A00028552-ses-DS2,5,
A00028606-ses-DS2,,
A00028613-ses-DS2,34,
A00028625-ses-DS2,16,
A00028691-ses-DS2,2,
A00028694-ses-DS2,1,
A00028753-ses-DS2,129,
A00028754-ses-DS2,9,
A00028912-ses-DS2,86,
A00028929-ses-DS2,11,
A00028994-ses-DS2,34,
A00028995-ses-DS2,,
A00029075-ses-DS2,47,
A00029076-ses-DS2,2,
A00029092-ses-DS2,,
A00029104-ses-DS2,153,
A00029126-ses-DS2,40,
A00029231-ses-DS2,4,
A00029303-ses-DS2,6,
A00029304-ses-DS2,,
A00029979-ses-DS2,,
A00030912-ses-DS2,30,
A00030913-ses-DS2,7,
A00030980-ses-DS2,52,
A00030981-ses-DS2,10,
A00030989-ses-DS2,10,
A00030990-ses-DS2,26,
A00031167-ses-DS2,63,
A00031216-ses-DS2,,
A00031217-ses-DS2,,
A00031219-ses-DS2,,
A00031272-ses-DS2,268,
A00031452-ses-DS2,17,
A00031459-ses-DS2,16,
A00031549-ses-DS2,1,
A00031605-ses-DS2,61,
A00031625-ses-DS2,,
A00031683-ses-DS2,7,
A00031794-ses-DS2,177,
A00031872-ses-DS2,7,
A00031881-ses-CLG4,3,
A00031893-ses-DS2,5,
A00031894-ses-DS2,24,
A00032007-ses-DS2,3,
A00032875-ses-DS2,1,
A00032876-ses-DS2,26,
A00033011-ses-DS2,,
A00033021-ses-DS2,2,
A00033180-ses-DS2,,
A00033231-ses-DS2,2,
A00033232-ses-DS2,120,
A00033247-ses-DS2,,
A00033248-ses-DS2,1,
A00033609-ses-DS2,6,
A00033640-ses-DS2,,
A00033643-ses-DS2,135,
A00033647-ses-DS2,67,
A00033673-ses-DS2,168,
A00033714-ses-CLG4,1,
A00033714-ses-CLG4R,43,
A00033714-ses-CLG5,63,
A00033714-ses-DS2,1,
A00033734-ses-DS2,67,
A00033735-ses-DS2,53,
A00033747-ses-DS2,36,
A00033752-ses-DS2,153,
A00033764-ses-DS2,156,
A00033832-ses-DS2,100,
A00033834-ses-DS2,7,
A00033849-ses-DS2,8,
A00033903-ses-DS2,228,
A00033963-ses-DS2,1,
A00033998-ses-DS2,1,
A00034073-ses-DS2,,
A00034074-ses-DS2,3,
A00034093-ses-DS2,27,
A00034193-ses-DS2,5,
A00034400-ses-DS2,106,
A00034827-ses-DS2,7,
A00034987-ses-DS2,165,
A00035036-ses-DS2,178,
A00035291-ses-CLG4,7,
A00035292-ses-CLG4,38,
A00035292-ses-CLG4R,26,
A00035292-ses-CLG5,68,
A00035377-ses-CLG5,17,
A00035378-ses-DS2,6,
A00035437-ses-DS2,26,
A00035440-ses-DS2,,
A00035553-ses-DS2,3,
A00035606-ses-DS2,62,
A00035625-ses-DS2,7,
A00035744-ses-DS2,223,
A00035765-ses-DS2,,
A00035827-ses-DS2,106,
A00035840-ses-DS2,31,
A00035879-ses-DS2,,
A00035881-ses-DS2,10,
A00035926-ses-DS2,1,
A00035940-ses-CLG4,10,
A00035940-ses-CLG4R,29,
A00035941-ses-DS2,44,
A00037110-ses-DS2,5,
A00037111-ses-DS2,17,
A00037112-ses-DS2,,
A00037266-ses-DS2,77,
A00037267-ses-DS2,98,
A00037368-ses-DS2,268,
A00037377-ses-DS2,6,
A00037387-ses-DS2,,
A00037396-ses-DS2,1,
A00037421-ses-DS2,267,
